POSITION,PARKRUNNER,GENDER,AGE GROUP,CLUB,TIME
225,Anon RUNNER,Female,VW45-49,Running Club,00:34:59
226,Anon RUNNER,Female,VW60-64,Running Club,00:35:02
227,Anon RUNNER,Female,JW15-17,Running Club,00:35:02
228,Anon RUNNER,Male,VM50-54,Running Club,00:35:04
229,Anon RUNNER,Female,VW50-54,Running Club,00:35:11
230,Anon RUNNER,Female,VW55-59,Running Club,00:35:17
231,Anon RUNNER,Female,VW50-54,Running Club,00:35:26
232,Anon RUNNER,Male,VM35-39,Running Club,00:35:27
233,Anon RUNNER,Female,VW75-79,Running Club,00:35:33
234,Anon RUNNER,Female,VW35-39,Running Club,00:35:55
235,Anon RUNNER,Female,VW65-69,Running Club,00:36:00
236,Anon RUNNER,Female,SW25-29,Running Club,00:36:03
237,Anon RUNNER,Male,VM60-64,Running Club,00:36:20
238,Anon RUNNER,Female,VW45-49,Running Club,00:36:35
239,Anon RUNNER,Female,VW45-49,Running Club,00:36:47
240,Anon RUNNER,Female,VW45-49,Running Club,00:36:59
241,Anon RUNNER,Female,SW30-34,Running Club,00:37:04
242,Anon RUNNER,Female,VW55-59,Running Club,00:37:07
243,Anon RUNNER,Female,SW30-34,Running Club,00:37:08
244,Anon RUNNER,Female,JW11-14,Running Club,00:37:14
245,Anon RUNNER,Male,VM40-44,Running Club,00:37:16
246,Anon RUNNER,Female,VW50-54,Running Club,00:37:24
247,Anon RUNNER,Male,SM30-34,Running Club,00:37:33
248,Anon RUNNER,Female,VW45-49,Running Club,00:37:37
249,Anon RUNNER,Female,VW55-59,Running Club,00:38:08
250,Anon RUNNER,Male,VM50-54,Running Club,00:38:08
251,Anon RUNNER,Female,VW55-59,Running Club,00:38:29
252,Anon RUNNER,Male,SM20-24,Running Club,00:38:51
253,Anon RUNNER,Female,VW65-69,Running Club,00:39:03
254,Anon RUNNER,Female,VW60-64,Running Club,00:39:06
255,Anon RUNNER,Female,VW55-59,Running Club,00:39:15
256,Anon RUNNER,Female,VW65-69,Running Club,00:39:42
257,Anon RUNNER,Female,VW55-59,Running Club,00:39:47
258,Anon RUNNER,Female,VW55-59,Running Club,00:40:02
259,Anon RUNNER,Female,VW45-49,Running Club,00:40:19
260,Anon RUNNER,Female,SW30-34,Running Club,00:40:27
261,Anon RUNNER,Male,VM60-64,Running Club,00:40:27
262,Anon RUNNER,Female,VW65-69,Running Club,00:40:52
263,Anon RUNNER,Female,VW40-44,Running Club,00:41:01
264,Anon RUNNER,Female,VW50-54,Running Club,00:41:01
265,Anon RUNNER,Male,JM11-14,Running Club,00:41:09
266,Anon RUNNER,Female,VW35-39,Running Club,00:41:19
267,Anon RUNNER,Male,VM75-79,Running Club,00:41:19
268,Anon RUNNER,Male,JM11-14,Running Club,00:41:22
269,Anon RUNNER,Male,VM55-59,Running Club,00:41:36
270,Anon RUNNER,Female,SW20-24,Running Club,00:41:41
271,Anon RUNNER,Female,VW50-54,Running Club,00:41:41
272,Anon RUNNER,Female,VW40-44,Running Club,00:41:45
273,Anon RUNNER,Female,VW35-39,Running Club,00:41:47
274,Anon RUNNER,Male,SM30-34,Running Club,00:42:09
275,Anon RUNNER,Female,VW60-64,Running Club,00:42:52
276,Anon RUNNER,Male,VM35-39,Running Club,00:43:13
277,Anon RUNNER,Male,VM50-54,Running Club,00:43:33
278,Anon RUNNER,Female,VW50-54,Running Club,00:43:38
279,Anon RUNNER,Female,VW45-49,Running Club,00:44:31
280,Anon RUNNER,Female,VW55-59,Running Club,00:44:36
281,Anon RUNNER,Female,VW60-64,Running Club,00:44:40
282,Anon RUNNER,Female,VW65-69,Running Club,00:44:45
283,Anon RUNNER,Female,JW10,Running Club,00:44:55
284,Anon RUNNER,Male,VM35-39,Running Club,00:44:56
285,Anon RUNNER,Female,VW45-49,Running Club,00:45:35
286,Anon RUNNER,Female,VW60-64,Running Club,00:46:40
287,Anon RUNNER,Female,VW45-49,Running Club,00:48:14
288,Anon RUNNER,Female,VW70-74,Running Club,00:48:45
289,Anon RUNNER,Male,VM60-64,Running Club,00:49:05
290,Anon RUNNER,Female,VW60-64,Running Club,00:50:31
291,Anon RUNNER,Female,VW70-74,Running Club,00:50:38
292,Anon RUNNER,Female,VW55-59,Running Club,00:50:38
293,Anon RUNNER,Female,VW40-44,Running Club,00:52:04
294,Anon RUNNER,Female,SW30-34,Running Club,00:52:17
295,Anon RUNNER,Female,VW60-64,Running Club,00:52:21
296,Anon RUNNER,Male,JM10,Running Club,00:53:33
297,Anon RUNNER,Female,SW30-34,Running Club,00:53:38
298,Anon RUNNER,Female,SW30-34,Running Club,00:54:49
299,Anon RUNNER,Female,VW45-49,Running Club,00:54:51
300,Anon RUNNER,Female,JW10,Running Club,00:55:59
301,Anon RUNNER,Male,VM50-54,Running Club,00:56:02
302,Anon RUNNER,Female,SW25-29,Running Club,00:56:12
303,Anon RUNNER,Female,VW40-44,Running Club,00:57:07
304,Anon RUNNER,Female,VW55-59,Running Club,00:57:07
305,Anon RUNNER,Female,VW35-39,Running Club,00:57:10
306,Anon RUNNER,Male,VM60-64,Running Club,00:57:11
